Campaign,Ad Group,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
1L Search - Phone & Carrier API,Phone Validation API,Responsive search ad,https://www.1lookup.io/products/phone-validation,products,phone-api,Phone Validation API,Validate Any Phone Instantly,Real-Time Phone Verification,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Check carrier, line type, spam score, and DNC status in one lookup."
1L Search - Phone & Carrier API,Bulk Phone Validation,Responsive search ad,https://www.1lookup.io/products/phone-validation,products,bulk-phone,Bulk Phone Validation,Validate Phones in Bulk,"Upload a CSV, Get Results",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Check carrier, line type, spam score, and DNC status in one lookup."
1L Search - Phone & Carrier API,Carrier Lookup API,Responsive search ad,https://www.1lookup.io/products/carrier-lookup,products,carrier-api,Carrier Lookup API,Identify Any Carrier,Carrier & Line Type Data,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Check carrier, line type, spam score, and DNC status in one lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup."
1L Search - Phone & Carrier API,HLR Lookup,Responsive search ad,https://www.1lookup.io/products/hlr-lookup,products,hlr-lookup,HLR Lookup API,Live HLR Checks,"HLR, MNP & Line Type",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Check carrier, line type, spam score, and DNC status in one lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - Phone & Carrier API,Reverse Phone Lookup API,Responsive search ad,https://www.1lookup.io/products/reverse-lookup,products,reverse-phone,Reverse Phone Lookup API,Reverse Phone Append,Caller ID & Owner Data,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - Email Verification,Email Verification API,Responsive search ad,https://www.1lookup.io/products/email-validation,products,email-api,Email Verification API,Verify Emails Instantly,Catch Bad Emails Fast,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,Verify email addresses in real time or clean entire lists. 7-day free trial.,"Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - Email Verification,Bulk Email List Cleaning,Responsive search ad,https://www.1lookup.io/products/email-validation,products,list-cleaning,Bulk Email Verification,Clean Your Email List,"Upload a List, Get Results",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,Verify email addresses in real time or clean entire lists. 7-day free trial.,Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Email Verification,Email Append & Finder,Responsive search ad,https://www.1lookup.io/products/email-append,products,email-append,Email Append API,Find Business Emails,B2B Email Append,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,Verify email addresses in real time or clean entire lists. 7-day free trial.,"Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - New Products,Skip Tracing,Responsive search ad,https://www.1lookup.io/products/skip-trace,products,skip-trace,Skip Tracing API,Batch Skip Tracing,Skip Trace at Scale,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,Skip tracing via API or bulk upload. Start your 7-day free trial in minutes.,Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","One API for phone, email, IP, fraud, and enrichment data. 7-day free trial."
1L Search - New Products,DNC & Phone Scrub,Responsive search ad,https://www.1lookup.io/products/phone-scrub,products,phone-scrub,DNC & Compliance Scrubbing,Scrub Lists Against DNC,Phone Scrub API,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Check carrier, line type, spam score, and DNC status in one lookup.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","One API for phone, email, IP, fraud, and enrichment data. 7-day free trial."
