Campaign,Ad Group,Keyword,Criterion Type
1L Search - Data Competitors,Skip Trace Competitors,tloxp,Exact
1L Search - Data Competitors,Skip Trace Competitors,tlo xp,Exact
1L Search - Data Competitors,Skip Trace Competitors,tloxp alternative,Phrase
1L Search - Data Competitors,Skip Trace Competitors,tlo skip tracing,Phrase
1L Search - Data Competitors,Skip Trace Competitors,batchskiptracing,Exact
1L Search - Data Competitors,Skip Trace Competitors,batch skip tracing alternative,Phrase
1L Search - Data Competitors,Skip Trace Competitors,idi core,Exact
1L Search - Data Competitors,Skip Trace Competitors,idi core alternative,Phrase
1L Search - Data Competitors,Skip Trace Competitors,skip tracing software alternative,Phrase
1L Search - Data Competitors,B2B Data Competitors,zoominfo alternative,Exact
1L Search - Data Competitors,B2B Data Competitors,zoominfo alternative,Phrase
1L Search - Data Competitors,B2B Data Competitors,apollo alternative,Exact
1L Search - Data Competitors,B2B Data Competitors,apollo io alternative,Phrase
1L Search - Data Competitors,B2B Data Competitors,clearbit alternative,Exact
1L Search - Data Competitors,B2B Data Competitors,lusha alternative,Exact
1L Search - Data Competitors,B2B Data Competitors,seamless ai alternative,Phrase
1L Search - Data Competitors,B2B Data Competitors,peopledatalabs alternative,Phrase
1L Search - Data Competitors,B2B Data Competitors,people data labs alternative,Phrase
1L Search - Data Competitors,SERP & Scraper Competitors,serpapi alternative,Exact
1L Search - Data Competitors,SERP & Scraper Competitors,serp api alternative,Phrase
1L Search - Data Competitors,SERP & Scraper Competitors,dataforseo alternative,Exact
1L Search - Data Competitors,SERP & Scraper Competitors,scraperapi alternative,Exact
1L Search - Data Competitors,SERP & Scraper Competitors,scrapingbee alternative,Phrase
1L Search - Data Competitors,IP Data Competitors,ipinfo alternative,Exact
1L Search - Data Competitors,IP Data Competitors,ipinfo io alternative,Phrase
1L Search - Data Competitors,IP Data Competitors,ipapi alternative,Exact
1L Search - Data Competitors,IP Data Competitors,maxmind alternative,Exact
1L Search - Data Competitors,IP Data Competitors,ip2location alternative,Exact
1L Search - Data Competitors,IP Data Competitors,ipinfo pricing,Exact
1L Search - New Products,SERP & Search Data,serp api,Exact
1L Search - New Products,SERP & Search Data,serp scraper api,Exact
1L Search - New Products,SERP & Search Data,google serp api,Exact
1L Search - New Products,SERP & Search Data,google search results api,Exact
1L Search - New Products,SERP & Search Data,search results api,Phrase
1L Search - New Products,SERP & Search Data,rank tracking api,Exact
1L Search - New Products,SERP & Search Data,serp data api,Phrase
1L Search - New Products,Social Data,social media profile lookup,Phrase
1L Search - New Products,Social Data,social profile api,Exact
1L Search - New Products,Social Data,instagram scraper api,Exact
1L Search - New Products,Social Data,tiktok scraper api,Exact
1L Search - New Products,Social Data,tiktok analytics api,Exact
1L Search - New Products,Social Data,social media data api,Phrase
1L Search - New Products,Social Data,username lookup api,Exact
1L Search - New Products,Video & Transcription,youtube transcript api,Exact
1L Search - New Products,Video & Transcription,video transcript api,Exact
1L Search - New Products,Video & Transcription,transcription api,Exact
1L Search - New Products,Video & Transcription,bulk transcription api,Phrase
1L Search - New Products,Video & Transcription,bulk transcription service,Phrase
1L Search - New Products,Property & Real Estate Data,property data api,Exact
1L Search - New Products,Property & Real Estate Data,real estate data api,Exact
1L Search - New Products,Property & Real Estate Data,property records api,Phrase
1L Search - New Products,Property & Real Estate Data,homeowner data api,Phrase
1L Search - New Products,Property & Real Estate Data,real estate skip tracing,Phrase
1L Search - New Products,Property & Real Estate Data,property owner lookup api,Phrase
1L Search - New Products,Person & Profile Data,linkedin profile api,Exact
1L Search - New Products,Person & Profile Data,linkedin scraper api,Exact
1L Search - New Products,Person & Profile Data,linkedin data api,Exact
1L Search - New Products,Person & Profile Data,people data api,Exact
1L Search - New Products,Person & Profile Data,job change tracking,Phrase
1L Search - New Products,Person & Profile Data,job change alerts,Phrase
1L Search - New Products,Website Visitor ID,website visitor identification,Phrase
1L Search - New Products,Website Visitor ID,identify website visitors,Phrase
1L Search - New Products,Website Visitor ID,visitor identification api,Exact
1L Search - New Products,Website Visitor ID,reverse ip append,Exact
1L Search - New Products,Website Visitor ID,reverse ip lookup company,Phrase
1L Search - New Products,Website Visitor ID,rb2b alternative,Exact
1L Search - New Products,Business Verification,business verification api,Exact
1L Search - New Products,Business Verification,business lookup api,Exact
1L Search - New Products,Business Verification,company profile api,Exact
1L Search - New Products,Business Verification,business data api,Exact
1L Search - New Products,Business Verification,company data api,Exact
1L Search - New Products,Business Verification,verify a business api,Phrase
1L Search - New Products,Ad Intelligence,facebook ad library api,Exact
1L Search - New Products,Ad Intelligence,ad library api,Exact
1L Search - New Products,Ad Intelligence,ad intelligence api,Phrase
1L Search - New Products,Ad Intelligence,competitor ad tracking api,Phrase
1L Search - New Products,Append Services,email append service,Exact
1L Search - New Products,Append Services,phone append service,Exact
1L Search - New Products,Append Services,cell phone append,Exact
1L Search - New Products,Append Services,reverse phone append,Exact
1L Search - New Products,Append Services,b2b data append,Phrase
1L Search - New Products,Append Services,contact append service,Phrase
