Campaign,Ad Group,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
1L Search - Data Competitors,Skip Trace Competitors,Responsive search ad,https://www.1lookup.io/products/skip-trace,products,skip-trace,Skip Tracing API,Batch Skip Tracing,Skip Trace at Scale,Compare Skip Tracing Data,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"Batch skip tracing plus phone, email and address append on one credit balance.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - Data Competitors,B2B Data Competitors,Responsive search ad,https://www.1lookup.io/products/b2b-contact-append,products,b2b-data,B2B Contact Data API,Compare B2B Data Providers,B2B Contact Append,Firmographics & Contacts,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"B2B contact append, firmographics and prospect search on one credit balance.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - Data Competitors,SERP & Scraper Competitors,Responsive search ad,https://www.1lookup.io/products/search-intent-lookup,products,serp-api,SERP API for Developers,Compare SERP API Pricing,Google SERP Data API,Search Data on One API Key,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"SERP data, keyword metrics and backlinks on the same key as your validation.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - Data Competitors,IP Data Competitors,Responsive search ad,https://www.1lookup.io/products/ip-lookup,products,ip-data,IP Intelligence API,Compare IP Data Providers,IP Geolocation API,"Proxy, VPN & Risk Scoring","41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"IP geolocation, proxy and VPN detection and risk scoring on one credit balance.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - New Products,SERP & Search Data,Responsive search ad,https://www.1lookup.io/products/search-intent-lookup,products,serp-api,SERP Scraper API,Google Search Results API,SERP Data API,Rank Tracking Data API,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"Pull live Google results, keyword metrics and rank data from one API key.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - New Products,Social Data,Responsive search ad,https://www.1lookup.io/products/social-search,products,social-data,Social Media Data API,Social Profile Lookup API,Instagram & TikTok Data,Social Search API,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"Look up social profiles, posts and audience data across networks from one API.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - New Products,Video & Transcription,Responsive search ad,https://www.1lookup.io/products/video-transcript,products,transcripts,Video Transcript API,Bulk Audio Transcription,YouTube Transcript API,Transcribe at Scale,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,Pull video transcripts and transcribe audio in bulk from one API key.,41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - New Products,Property & Real Estate Data,Responsive search ad,https://www.1lookup.io/products/property-lookup,products,property,Property Data API,Property Records Lookup,Real Estate Data API,Owner & Property Lookup,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,Property records and owner data plus skip tracing on one credit balance.,41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - New Products,Person & Profile Data,Responsive search ad,https://www.1lookup.io/products/social-profile-check,products,person-data,Person Data API,Profile Lookup API,Job Change Monitoring,Enrich Any Contact,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,"Look up profiles, verify identities and track job changes from one API key.",41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
1L Search - New Products,Website Visitor ID,Responsive search ad,https://www.1lookup.io/products/reverse-ip-append,products,visitor-id,Identify Website Visitors,Reverse IP Append API,Visitor ID API,Turn IPs Into Companies,"41 Data Products, One API",Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,200+ Countries Covered,"1,000 Requests/Min Included","5-Minute Setup, No Contracts",Plans From $99/Month,Resolve anonymous website traffic to companies and contacts with reverse IP.,41 data products on one API key and one shared credit balance. Start free in 5 minutes.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","1,000 requests/min included on every plan. 200+ countries covered."
